Timestamp, MAC Address, Name, Packet Type, Data, Hits, dB, Channel
20250206214142,5C:54:24:76:31:48,,ADV_NONCONN_IND,0x1EFF060001092002BCA6F40A3B8FDC7746AA9C8ACF2AA7B4DA1C1FAC1C921A,109,-2,37,               
20250206214140,D0:DA:D8:05:65:77,,ADV_NONCONN_IND,0x07FF4C0012020002,13,-5,37,                                                              
20250206214127,40:E9:0C:40:CC:D7,,ADV_IND,0x02011A020A040AFF4C0010050318ADE29A,6,-5,37,                                                     
20250206214142,5A:19:65:9D:51:7D,,SCAN_RSP,0x14FF4C000100000000000000000000000080000000,71,-6,37,                                           
20250206214139,74:EC:B2:14:FB:0E,,SCAN_REQ,0xD106B2E0A46C,11,-8,37,                                                                         
20250206214142,6C:A4:E0:B2:06:D1,,ADV_SCAN_IND,0x03039FFE17169FFE0000000000000000000000000000000000000000,223,-10,37,                       
20250206214141,60:B6:1D:8F:07:85,,SCAN_RSP,0x09FFE000561BCA961AE1,23,-10,37,                                                                
20250206214142,E4:F0:42:11:F5:40,,SCAN_REQ,0xD7CC400CE940,153,-11,37,                                                                       
20250206214131,C9:E5:74:85:61:8C,,ADV_IND,0x1AFF4C0012026E00071106806E3ADC3A73B8A33638FC75AEEFECEA,2,-11,37,                                
20250206214141,68:DA:74:3F:49:1F,,ADV_IND,0x02011A0AFF4C0010050118CBC009020A00,59,-12,37,                                                   
20250206214142,4C:56:DB:C6:C5:49,,ADV_NONCONN_IND,0x0201040716FEFE03003AFF,59,-17,37,                                                       
20250206214141,D9:02:67:D2:23:AC,,ADV_NONCONN_IND,0x07FF4C0012020001,15,-17,37,                                                             
20250206214141,4C:56:DB:E3:94:32,,ADV_NONCONN_IND,0x0201040716FEFE03003AFF,66,-18,37,                                                       
20250206214128,44:22:25:B1:2F:D6,,ADV_IND,0x020104,32,-18,37,                                                                               
20250206214140,A0:D7:F3:19:5D:B5,,ADV_NONCONN_IND,0x1BFF75004204018066A0D7F3195DB5A2D7F3195DB401000000000000,22,-20,37,                     
20250206214139,70:95:D8:27:73:71,,ADV_IND,0x020104,6,-20,37,                                                                                
20250206214138,1A:FD:97:C8:7E:6D,,ADV_NONCONN_IND,0x1EFF060001092022FDBCCEB4860D20DFAB5F0EB6FF72640CF0FA3D9894A210,1,-22,37,                
20250206214141,46:C5:71:BA:BD:5C,,ADV_IND,0x020104,56,-24,37,                                                                               
