Timestamp, MAC Address, Name, Packet Type, Data, Hits, dB, Channel,
20250206191757,2A:E9:13:10:DF:F1,,ADV_NONCONN_IND,0x1EFF06000109202289A7FC833E1FCBA4C6515F3D67A9D0943BDA4758B37785,27,-19,37,               
20250206191739,4C:56:DB:C6:C5:49,,ADV_NONCONN_IND,0x020104¼·96FEFE03003AFF,8,-21,37,                                                        
20250206191801,4C:56:DB:E3:94:32,,ADV_NONCONN_IND,0x0201040716FEFE03003AFF,37,-19,37,                                                       
20250206191742,4D:A9:50:20:31:CB,,SCAN_REQ,0x05628E00DFFC,3,2,37,                                                                           
20250206191801,51:94:96:E8:E3:D9,,SCAN_REQ,0x05628E00DFFC,205,-16,37,                                                                       
20¾·8206191756,52:ED:F2:D5:29:A2,,SCAN_REQ,0xAAE1A39352CA,17,-4,37,                                                                         
20250206191800,5B:43:CF:D8:25:36,,SCAN_RSP,0x09FFE000561BCA961AE1,28,0,37,                                                                  
20250206191759,5C:B1:08:F0:06:DD,,SCAN_RSP,0x14FF4C000100000000000000000000000080000000,6,-21,37,                                           
20250206191758,5F:69:BE:0F:85:F3,,ADV_IND,0x020104,20,-20,37,                           ¬£(                                                 
20250206191743,60:75:C7:3C:A7:38,,ADV_IND,0x02011A020A0C0CFF4C001007761F16BEB55178,1,-20,37,                                                
20250206191750,62:86:71:E2:E1:2D,,SCAN_RSP,0x0816FEFE041062F4D0,7,-20,37,                                                                   
20250206191757,65:8F:18:DA:78:FC,,SCAN_REQ,0x38A73CC77560,3,2,37,                                                                           
20250206191800,69:00:87:5B:36:DE¬¯IDV_NONCONN_IND,0x1EFF060001092002CC2F7135A6D4C149EEB289ACBB0608BD4ACCF911CF87B8,100,-5,37,               ,,
20250206191759,74:EC:B2:14:FB:0E,,SCAN_REQ,0xB55D19F3D7A0,8,-18,37,                                                                         
20250206191749,CA:52:93:A3:E1:AA,I_TL,SCAN_RSP,0x0509495F544C0CFFA50102CCF9800004DDBEA0,2,-20,37,                                           
20250206191801,E4:F0:42:11:F5:40,,SCAN_REQ,0x2B37393432D1,221,0,37,                                                   ¬£(                   
